id,data,ilosc,wartosc_netto,koszt
1005,2025-11-23,2,36.0,20.0
1009,2025-11-23,2,620.0,380.0
1004,2025-11-24,3,28.5,12.0
1010,2025-11-24,2,32.0,16.0
1010,2025-11-25,1,16.0,8.0
1001,2025-11-27,2,24.0,14.0
1004,2025-11-28,4,38.0,16.0
1009,2025-11-29,1,310.0,190.0
1001,2025-11-30,1,12.0,7.0
1004,2025-11-30,2,19.0,8.0
1008,2025-11-30,1,14.0,6.5
1005,2025-12-01,1,18.0,10.0
1010,2025-12-01,1,16.0,8.0
1003,2025-12-02,4,180.0,112.0
1004,2025-12-02,4,38.0,16.0
1004,2025-12-03,2,19.0,8.0
1005,2025-12-03,3,54.0,30.0
1004,2025-12-04,4,38.0,16.0
1008,2025-12-04,2,28.0,13.0
1003,2025-12-05,1,45.0,28.0
1004,2025-12-05,1,9.5,4.0
1008,2025-12-06,3,42.0,19.5
1009,2025-12-06,3,930.0,570.0
1005,2025-12-07,1,18.0,10.0
1001,2025-12-08,6,72.0,42.0
1004,2025-12-08,3,28.5,12.0
1003,2025-12-09,1,45.0,28.0
1004,2025-12-09,4,38.0,16.0
1008,2025-12-09,2,28.0,13.0
1005,2025-12-10,1,18.0,10.0
1008,2025-12-10,3,42.0,19.5
1010,2025-12-10,1,16.0,8.0
1005,2025-12-11,1,18.0,10.0
1004,2025-12-12,3,28.5,12.0
1001,2025-12-13,1,12.0,7.0
1002,2025-12-13,1,89.0,55.0
1001,2025-12-14,2,24.0,14.0
1004,2025-12-14,3,28.5,12.0
1005,2025-12-14,2,36.0,20.0
1008,2025-12-14,1,14.0,6.5
1001,2025-12-15,3,36.0,21.0
1004,2025-12-15,4,38.0,16.0
1008,2025-12-15,1,14.0,6.5
1009,2025-12-15,3,930.0,570.0
1001,2025-12-16,1,12.0,7.0
1003,2025-12-16,1,45.0,28.0
1004,2025-12-17,4,38.0,16.0
1009,2025-12-17,1,310.0,190.0
1008,2025-12-18,2,28.0,13.0
1001,2025-12-19,1,12.0,7.0
1002,2025-12-19,2,178.0,110.0
1004,2025-12-19,2,19.0,8.0
1008,2025-12-19,2,28.0,13.0
1010,2025-12-19,4,64.0,32.0
1001,2025-12-20,2,24.0,14.0
1004,2025-12-20,3,28.5,12.0
1004,2025-12-21,3,28.5,12.0
1008,2025-12-22,2,28.0,13.0
1010,2025-12-22,1,16.0,8.0
1001,2025-12-23,1,12.0,7.0
1009,2025-12-23,2,620.0,380.0
1010,2025-12-23,2,32.0,16.0
1004,2025-12-24,5,47.5,20.0
1008,2025-12-24,2,28.0,13.0
1005,2025-12-25,1,18.0,10.0
1008,2025-12-25,2,28.0,13.0
1001,2025-12-26,2,24.0,14.0
1004,2025-12-26,5,47.5,20.0
1001,2025-12-27,3,36.0,21.0
1004,2025-12-27,3,28.5,12.0
1001,2025-12-28,2,24.0,14.0
1004,2025-12-28,3,28.5,12.0
1010,2025-12-28,1,16.0,8.0
1002,2025-12-29,1,89.0,55.0
1008,2025-12-29,1,14.0,6.5
1010,2025-12-30,2,32.0,16.0
1004,2025-12-31,3,28.5,12.0
1010,2025-12-31,1,16.0,8.0
1004,2026-01-01,3,28.5,12.0
1001,2026-01-02,2,24.0,14.0
1004,2026-01-03,5,47.5,20.0
1008,2026-01-03,1,14.0,6.5
1005,2026-01-04,3,54.0,30.0
1009,2026-01-04,2,620.0,380.0
1004,2026-01-05,4,38.0,16.0
1005,2026-01-05,3,54.0,30.0
1008,2026-01-05,1,14.0,6.5
1010,2026-01-05,2,32.0,16.0
1004,2026-01-06,2,19.0,8.0
1008,2026-01-06,2,28.0,13.0
1009,2026-01-06,1,310.0,190.0
1002,2026-01-07,1,89.0,55.0
1004,2026-01-07,3,28.5,12.0
1008,2026-01-07,1,14.0,6.5
1001,2026-01-08,2,24.0,14.0
1004,2026-01-08,2,19.0,8.0
1005,2026-01-08,2,36.0,20.0
1004,2026-01-09,3,28.5,12.0
1008,2026-01-09,2,28.0,13.0
1010,2026-01-09,1,16.0,8.0
1004,2026-01-10,5,47.5,20.0
1001,2026-01-12,2,24.0,14.0
1004,2026-01-12,4,38.0,16.0
1008,2026-01-12,1,14.0,6.5
1001,2026-01-13,2,24.0,14.0
1006,2026-01-13,2,440.0,240.0
1008,2026-01-13,2,28.0,13.0
1001,2026-01-14,2,24.0,14.0
1005,2026-01-14,1,18.0,10.0
1008,2026-01-14,2,28.0,13.0
1004,2026-01-15,2,19.0,8.0
1008,2026-01-15,4,56.0,26.0
1001,2026-01-17,3,36.0,21.0
1004,2026-01-17,4,38.0,16.0
1004,2026-01-18,3,28.5,12.0
1009,2026-01-18,2,620.0,380.0
1004,2026-01-19,3,28.5,12.0
1001,2026-01-20,2,24.0,14.0
1004,2026-01-20,3,28.5,12.0
1008,2026-01-20,1,14.0,6.5
1004,2026-01-21,3,28.5,12.0
1005,2026-01-21,1,18.0,10.0
1005,2026-01-22,2,36.0,20.0
1008,2026-01-22,3,42.0,19.5
1010,2026-01-22,1,16.0,8.0
1001,2026-01-23,1,12.0,7.0
1005,2026-01-23,3,54.0,30.0
1001,2026-01-24,2,24.0,14.0
1008,2026-01-24,1,14.0,6.5
1009,2026-01-24,3,930.0,570.0
1004,2026-01-25,1,9.5,4.0
1006,2026-01-25,1,220.0,120.0
1003,2026-01-26,2,90.0,56.0
1005,2026-01-26,1,18.0,10.0
1008,2026-01-26,2,28.0,13.0
1004,2026-01-27,4,38.0,16.0
1008,2026-01-27,2,28.0,13.0
1004,2026-01-28,3,28.5,12.0
1009,2026-01-28,1,310.0,190.0
1002,2026-01-29,2,178.0,110.0
1004,2026-01-29,4,38.0,16.0
1009,2026-01-29,1,310.0,190.0
1004,2026-01-30,3,28.5,12.0
1005,2026-01-30,4,72.0,40.0
1008,2026-01-30,1,14.0,6.5
1008,2026-01-31,2,28.0,13.0
1001,2026-02-01,4,48.0,28.0
1009,2026-02-01,1,310.0,190.0
1005,2026-02-02,3,54.0,30.0
1005,2026-02-03,1,18.0,10.0
1008,2026-02-03,1,14.0,6.5
1004,2026-02-04,5,47.5,20.0
1008,2026-02-04,2,28.0,13.0
1003,2026-02-05,1,45.0,28.0
1008,2026-02-05,2,28.0,13.0
1010,2026-02-05,4,64.0,32.0
1004,2026-02-06,2,19.0,8.0
1005,2026-02-06,1,18.0,10.0
1001,2026-02-07,3,36.0,21.0
1008,2026-02-07,1,14.0,6.5
1008,2026-02-08,4,56.0,26.0
1001,2026-02-09,1,12.0,7.0
1008,2026-02-09,5,70.0,32.5
1001,2026-02-12,1,12.0,7.0
1003,2026-02-12,1,45.0,28.0
1008,2026-02-13,2,28.0,13.0
1001,2026-02-14,1,12.0,7.0
1004,2026-02-14,4,38.0,16.0
1006,2026-02-14,1,220.0,120.0
1008,2026-02-14,1,14.0,6.5
1008,2026-02-15,2,28.0,13.0
1004,2026-02-16,3,28.5,12.0
1005,2026-02-16,3,54.0,30.0
1001,2026-02-17,1,12.0,7.0
1010,2026-02-17,4,64.0,32.0
1001,2026-02-18,1,12.0,7.0
1004,2026-02-18,2,19.0,8.0
1008,2026-02-18,1,14.0,6.5
1005,2026-02-19,1,18.0,10.0
1004,2026-02-20,2,19.0,8.0
1008,2026-02-20,1,14.0,6.5
1005,2026-02-21,2,36.0,20.0
1008,2026-02-21,2,28.0,13.0
1004,2026-02-22,2,19.0,8.0
1010,2026-02-22,1,16.0,8.0
1001,2026-02-23,1,12.0,7.0
1003,2026-02-23,2,90.0,56.0
1004,2026-02-23,5,47.5,20.0
1003,2026-02-24,1,45.0,28.0
1004,2026-02-25,5,47.5,20.0
1009,2026-02-25,3,930.0,570.0
1005,2026-02-27,2,36.0,20.0
1010,2026-02-27,1,16.0,8.0
1001,2026-02-28,2,24.0,14.0
1002,2026-02-28,2,178.0,110.0
1004,2026-02-28,2,19.0,8.0
1008,2026-02-28,1,14.0,6.5
1001,2026-03-02,1,12.0,7.0
1004,2026-03-02,1,9.5,4.0
1004,2026-03-03,5,47.5,20.0
1008,2026-03-03,1,14.0,6.5
1004,2026-03-04,5,47.5,20.0
1005,2026-03-04,2,36.0,20.0
1008,2026-03-04,1,14.0,6.5
1005,2026-03-05,4,72.0,40.0
1003,2026-03-06,2,90.0,56.0
1005,2026-03-06,1,18.0,10.0
1008,2026-03-06,3,42.0,19.5
1003,2026-03-07,1,45.0,28.0
1004,2026-03-07,3,28.5,12.0
1005,2026-03-07,3,54.0,30.0
1009,2026-03-07,1,310.0,190.0
1002,2026-03-08,2,178.0,110.0
1008,2026-03-08,3,42.0,19.5
1001,2026-03-09,2,24.0,14.0
1003,2026-03-09,2,90.0,56.0
1004,2026-03-09,2,19.0,8.0
1009,2026-03-09,1,310.0,190.0
1008,2026-03-10,1,14.0,6.5
1004,2026-03-11,3,28.5,12.0
1004,2026-03-12,4,38.0,16.0
1008,2026-03-12,4,56.0,26.0
1001,2026-03-13,3,36.0,21.0
1004,2026-03-13,7,66.5,28.0
1005,2026-03-14,1,18.0,10.0
1008,2026-03-14,2,28.0,13.0
1005,2026-03-15,2,36.0,20.0
1004,2026-03-16,2,19.0,8.0
1008,2026-03-16,3,42.0,19.5
1002,2026-03-17,3,267.0,165.0
1004,2026-03-18,4,38.0,16.0
1008,2026-03-18,3,42.0,19.5
1002,2026-03-19,3,267.0,165.0
1004,2026-03-19,5,47.5,20.0
1004,2026-03-20,4,38.0,16.0
1008,2026-03-20,1,14.0,6.5
1003,2026-03-21,2,90.0,56.0
1001,2026-03-22,1,12.0,7.0
1003,2026-03-22,3,135.0,84.0
1004,2026-03-22,1,9.5,4.0
1005,2026-03-22,2,36.0,20.0
1004,2026-03-23,3,28.5,12.0
1005,2026-03-23,2,36.0,20.0
1008,2026-03-23,1,14.0,6.5
1005,2026-03-24,1,18.0,10.0
1006,2026-03-24,1,220.0,120.0
1008,2026-03-24,2,28.0,13.0
1002,2026-03-25,1,89.0,55.0
1004,2026-03-25,2,19.0,8.0
1009,2026-03-25,4,1240.0,760.0
1008,2026-03-26,2,28.0,13.0
1009,2026-03-26,3,930.0,570.0
1004,2026-03-27,5,47.5,20.0
1005,2026-03-27,1,18.0,10.0
1001,2026-03-28,4,48.0,28.0
1005,2026-03-28,2,36.0,20.0
1001,2026-03-29,3,36.0,21.0
1003,2026-03-29,3,135.0,84.0
1001,2026-03-30,3,36.0,21.0
1005,2026-03-30,2,36.0,20.0
1003,2026-03-31,2,90.0,56.0
1004,2026-03-31,5,47.5,20.0
1005,2026-03-31,1,18.0,10.0
1008,2026-03-31,1,14.0,6.5
1002,2026-04-01,1,89.0,55.0
1003,2026-04-01,3,135.0,84.0
1004,2026-04-01,3,28.5,12.0
1008,2026-04-01,3,42.0,19.5
1003,2026-04-02,2,90.0,56.0
1005,2026-04-02,2,36.0,20.0
1009,2026-04-02,2,620.0,380.0
1001,2026-04-03,1,12.0,7.0
1003,2026-04-03,3,135.0,84.0
1004,2026-04-03,4,38.0,16.0
1004,2026-04-04,4,38.0,16.0
1001,2026-04-05,2,24.0,14.0
1003,2026-04-05,4,180.0,112.0
1005,2026-04-06,3,54.0,30.0
1008,2026-04-07,2,28.0,13.0
1003,2026-04-08,4,180.0,112.0
1004,2026-04-08,3,28.5,12.0
1008,2026-04-08,2,28.0,13.0
1010,2026-04-08,3,48.0,24.0
1003,2026-04-09,1,45.0,28.0
1004,2026-04-10,1,9.5,4.0
1008,2026-04-10,1,14.0,6.5
1004,2026-04-11,4,38.0,16.0
1005,2026-04-12,1,18.0,10.0
1008,2026-04-12,1,14.0,6.5
1001,2026-04-13,1,12.0,7.0
1001,2026-04-14,1,12.0,7.0
1003,2026-04-14,1,45.0,28.0
1008,2026-04-14,1,14.0,6.5
1009,2026-04-14,2,620.0,380.0
1010,2026-04-14,2,32.0,16.0
1004,2026-04-16,6,57.0,24.0
1009,2026-04-16,3,930.0,570.0
1005,2026-04-17,1,18.0,10.0
1008,2026-04-17,1,14.0,6.5
1003,2026-04-18,2,90.0,56.0
1008,2026-04-18,2,28.0,13.0
1001,2026-04-19,1,12.0,7.0
1004,2026-04-19,2,19.0,8.0
1010,2026-04-19,2,32.0,16.0
1001,2026-04-20,3,36.0,21.0
1004,2026-04-20,2,19.0,8.0
1005,2026-04-20,2,36.0,20.0
1008,2026-04-20,3,42.0,19.5
1004,2026-04-21,3,28.5,12.0
1008,2026-04-21,1,14.0,6.5
1004,2026-04-22,5,47.5,20.0
1001,2026-04-23,3,36.0,21.0
1008,2026-04-23,1,14.0,6.5
1004,2026-04-24,1,9.5,4.0
1003,2026-04-25,3,135.0,84.0
1004,2026-04-25,3,28.5,12.0
1005,2026-04-25,2,36.0,20.0
1004,2026-04-26,2,19.0,8.0
1004,2026-04-27,2,19.0,8.0
1008,2026-04-27,2,28.0,13.0
1001,2026-04-28,2,24.0,14.0
1004,2026-04-28,3,28.5,12.0
1003,2026-04-29,1,45.0,28.0
1005,2026-04-29,3,54.0,30.0
1008,2026-04-29,1,14.0,6.5
1001,2026-04-30,2,24.0,14.0
1008,2026-04-30,4,56.0,26.0
1001,2026-05-01,3,36.0,21.0
1002,2026-05-01,1,89.0,55.0
1003,2026-05-01,3,135.0,84.0
1004,2026-05-01,2,19.0,8.0
1003,2026-05-02,3,135.0,84.0
1005,2026-05-02,2,36.0,20.0
1004,2026-05-03,3,28.5,12.0
1001,2026-05-04,2,24.0,14.0
1003,2026-05-04,2,90.0,56.0
1004,2026-05-04,1,9.5,4.0
1009,2026-05-04,2,620.0,380.0
1004,2026-05-05,6,57.0,24.0
1001,2026-05-07,5,60.0,35.0
1004,2026-05-07,5,47.5,20.0
1008,2026-05-07,3,42.0,19.5
1002,2026-05-09,3,267.0,165.0
1005,2026-05-09,2,36.0,20.0
1005,2026-05-10,1,18.0,10.0
1008,2026-05-10,2,28.0,13.0
1003,2026-05-11,4,180.0,112.0
1004,2026-05-11,3,28.5,12.0
1008,2026-05-11,1,14.0,6.5
1005,2026-05-12,3,54.0,30.0
1008,2026-05-12,1,14.0,6.5
1003,2026-05-13,1,45.0,28.0
1004,2026-05-14,4,38.0,16.0
1005,2026-05-14,2,36.0,20.0
1008,2026-05-15,1,14.0,6.5
1010,2026-05-15,1,16.0,8.0
1001,2026-05-16,4,48.0,28.0
1004,2026-05-16,3,28.5,12.0
1005,2026-05-16,1,18.0,10.0
1001,2026-05-17,1,12.0,7.0
1004,2026-05-18,5,47.5,20.0
1003,2026-05-19,2,90.0,56.0
1004,2026-05-19,3,28.5,12.0
1005,2026-05-19,3,54.0,30.0
1008,2026-05-19,2,28.0,13.0
1004,2026-05-20,3,28.5,12.0
1001,2026-05-21,1,12.0,7.0
1003,2026-05-21,2,90.0,56.0
1004,2026-05-21,3,28.5,12.0
1005,2026-05-21,2,36.0,20.0
1001,2026-05-22,2,24.0,14.0
1002,2026-05-22,1,89.0,55.0
1004,2026-05-22,4,38.0,16.0
1005,2026-05-22,1,18.0,10.0
1003,2026-05-23,1,45.0,28.0
1004,2026-05-23,4,38.0,16.0
1008,2026-05-23,5,70.0,32.5
1010,2026-05-23,1,16.0,8.0
1001,2026-05-24,4,48.0,28.0
1003,2026-05-24,2,90.0,56.0
1008,2026-05-24,1,14.0,6.5
1004,2026-05-25,1,9.5,4.0
1005,2026-05-25,3,54.0,30.0
1004,2026-05-26,4,38.0,16.0
1003,2026-05-27,1,45.0,28.0
1008,2026-05-27,2,28.0,13.0
1010,2026-05-27,1,16.0,8.0
1001,2026-05-28,1,12.0,7.0
1004,2026-05-29,5,47.5,20.0
1008,2026-05-29,3,42.0,19.5
1001,2026-05-31,1,12.0,7.0
1004,2026-05-31,4,38.0,16.0
1003,2026-06-01,3,135.0,84.0
1004,2026-06-01,3,28.5,12.0
1005,2026-06-01,2,36.0,20.0
1001,2026-06-02,1,12.0,7.0
1003,2026-06-02,1,45.0,28.0
1004,2026-06-02,2,19.0,8.0
1010,2026-06-02,2,32.0,16.0
1010,2026-06-03,2,32.0,16.0
1003,2026-06-04,2,90.0,56.0
1005,2026-06-04,3,54.0,30.0
1010,2026-06-04,1,16.0,8.0
1010,2026-06-05,1,16.0,8.0
1001,2026-06-06,2,24.0,14.0
1004,2026-06-06,1,9.5,4.0
1005,2026-06-06,2,36.0,20.0
1004,2026-06-07,6,57.0,24.0
1001,2026-06-08,1,12.0,7.0
1004,2026-06-09,2,19.0,8.0
1001,2026-06-10,3,36.0,21.0
1004,2026-06-10,2,19.0,8.0
1003,2026-06-11,1,45.0,28.0
1004,2026-06-11,3,28.5,12.0
1008,2026-06-11,1,14.0,6.5
1004,2026-06-12,4,38.0,16.0
1001,2026-06-13,1,12.0,7.0
1004,2026-06-13,2,19.0,8.0
1001,2026-06-14,1,12.0,7.0
1008,2026-06-15,1,14.0,6.5
1004,2026-06-16,3,28.5,12.0
1008,2026-06-16,2,28.0,13.0
